Month_Num,Month_Name,Area_Name,GMM_Threshold_dB
10,October,Khulna,-10.3324
10,October,Kishoreganj,-15.1728
10,October,Kurigram,-15.6558
10,October,Kushtia,-15.6536
10,October,Lakshmipur,-14.7232
10,October,Lalmonirhat,-8.8713
10,October,Madaripur,-12.8921
10,October,Magura,-12.5883
10,October,Manikganj,-14.2055
10,October,Maulvibazar,-13.0931
10,October,Meherpur,-8.4558
10,October,Munshiganj,-13.3563
10,October,Mymensingh,-8.4575
10,October,Naogaon,-10.8979
10,October,Narail,-11.945
10,October,Narayanganj,-14.3886
10,October,Narsingdi,-13.8957
10,October,Natore,-13.6026
10,October,Nawabganj,-14.6607
10,October,Netrakona,-15.0095
10,October,Nilphamari,-8.5506
10,October,Noakhali,-13.9787
10,October,Pabna,-13.6755
10,October,Panchagarh,-8.709
10,October,Patuakhali,-14.3851
10,October,Pirojpur,-13.1992
10,October,Rajbari,-14.6609
10,October,Rajshahi,-13.2771
10,October,Rangamati,-12.2753
10,October,Rangpur,-7.662
10,October,Satkhira,-10.3573
10,October,Shariatpur,-13.0179
10,October,Sherpur,-8.3648
10,October,Sirajganj,-15.0702
10,October,Sunamganj,-15.8592
10,October,Sylhet,-13.2675
10,October,Tangail,-13.3703
10,October,Thakurgaon,-8.867
10,October,national_mean,-11.9964
11,November,Bagerhat,-9.6341
11,November,Bandarban,-6.4659
11,November,Barguna,-14.5308
11,November,Barisal,-13.4728
11,November,Bhola,-15.8572
11,November,Bogra,-12.1017
11,November,Brahamanbaria,-14.3696
11,November,Chandpur,-13.457
11,November,Chittagong,-8.9528
11,November,Chuadanga,-8.5883
11,November,Comilla,-8.7086
11,November,Cox's Bazar,-11.5818
11,November,Dhaka,-11.6742
11,November,Dinajpur,-8.3909
11,November,Faridpur,-14.2294
11,November,Feni,-8.5467
11,November,Gaibandha,-15.0597
11,November,Gazipur,-7.9717
11,November,Gopalganj,-11.0922
11,November,Habiganj,-12.4052
11,November,Jamalpur,-11.9316
11,November,Jessore,-13.0955
11,November,Jhalokati,-11.5083
11,November,Jhenaidah,-9.0121
11,November,Joypurhat,-8.153
11,November,Khagrachhari,-6.7622
11,November,Khulna,-9.8289
11,November,Kishoreganj,-15.7128
11,November,Kurigram,-15.0042
11,November,Kushtia,-14.3474
11,November,Lakshmipur,-15.8428
11,November,Lalmonirhat,-8.8336
11,November,Madaripur,-13.4475
11,November,Magura,-12.9481
11,November,Manikganj,-14.819
11,November,Maulvibazar,-13.0499
11,November,Meherpur,-8.3577
11,November,Munshiganj,-13.9833
11,November,Mymensingh,-8.78
11,November,Naogaon,-9.9834
11,November,Narail,-12.4727
11,November,Narayanganj,-14.6302
11,November,Narsingdi,-15.3725
11,November,Natore,-13.1258
11,November,Nawabganj,-13.2203
11,November,Netrakona,-15.4584
11,November,Nilphamari,-8.5863
11,November,Noakhali,-14.7929
11,November,Pabna,-14.2212
11,November,Panchagarh,-8.9015
11,November,Patuakhali,-14.5915
11,November,Pirojpur,-11.9541
11,November,Rajbari,-14.7089
11,November,Rajshahi,-14.7111
11,November,Rangamati,-12.1918
11,November,Rangpur,-7.8654
11,November,Satkhira,-10.6577
11,November,Shariatpur,-13.8405
11,November,Sherpur,-8.6216
11,November,Sirajganj,-14.9656
11,November,Sunamganj,-16.1579
11,November,Sylhet,-12.7016
11,November,Tangail,-9.9285
11,November,Thakurgaon,-8.1853
11,November,national_mean,-11.9431
12,December,Bagerhat,-10.03
12,December,Bandarban,-7.0659
12,December,Barguna,-14.6775
12,December,Barisal,-13.9525
12,December,Bhola,-15.3069
12,December,Bogra,-12.0442
